,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
0,0.5328866839408875,0.7402104735374451,0.7777262926101685,0.7239283323287964,0.3777332603931427,0.40289106965065,0.815841555595398,0.8877301216125488,0.7534423470497131,0.6805285811424255
1,0.3726779818534851,0.8253169059753418,0.9021142721176147,0.7682926654815674,0.6940410733222961,0.36205723881721497,0.8315511345863342,0.9094338417053223,0.7440722584724426,0.7683637738227844
2,0.3271968960762024,0.8460276126861572,0.9248616099357605,0.7929057478904724,0.738774836063385,0.3536577820777893,0.8397359848022461,0.9299848079681396,0.7095282077789307,0.8942868113517761
3,0.3163260519504547,0.8498189449310303,0.9290781021118164,0.7934916615486145,0.7529627680778503,0.29156121611595154,0.8731353282928467,0.9436959028244019,0.8007462620735168,0.8340458869934082
4,0.2772878408432007,0.8749434351921082,0.9470189809799194,0.8235495686531067,0.8032048344612122,0.26433712244033813,0.8798679709434509,0.953290581703186,0.8389726877212524,0.7998445630073547
5,0.26780247688293457,0.8798098564147949,0.95045405626297,0.8275453448295593,0.8153897523880005,0.2678301930427551,0.8728712797164917,0.9587693214416504,0.8915369510650635,0.7123979926109314
6,0.2482920140028,0.885751485824585,0.9577733874320984,0.837067186832428,0.8232348561286926,0.25284966826438904,0.8848844766616821,0.9604294300079346,0.8728627562522888,0.7738049030303955
7,0.23761585354804993,0.8952580094337463,0.9613589644432068,0.8429423570632935,0.8492739200592041,0.2256205677986145,0.9001980423927307,0.9668565988540649,0.8721835017204285,0.8274387717247009
8,0.22258585691452026,0.9013128280639648,0.9662079811096191,0.8517475724220276,0.8582874536514282,0.25654053688049316,0.8780198097229004,0.9673581123352051,0.923907458782196,0.6984065175056458
9,0.21873506903648376,0.9037460684776306,0.9672210216522217,0.8573808670043945,0.8589550852775574,0.21431106328964233,0.9057425856590271,0.9698927998542786,0.8795426487922668,0.8371550440788269
10,0.22072911262512207,0.90436851978302,0.9665461182594299,0.8582375645637512,0.8599566221237183,0.20654378831386566,0.9098349809646606,0.973461389541626,0.8983979821205139,0.8282160758972168
11,0.20222821831703186,0.9125169515609741,0.9721714854240417,0.8676592111587524,0.8754798769950867,0.21758818626403809,0.9015181660652161,0.9732507467269897,0.9235048890113831,0.774193525314331
12,0.20033778250217438,0.9150633811950684,0.9724911451339722,0.8731715679168701,0.8768151998519897,0.1859162300825119,0.9244884252548218,0.9778569340705872,0.8981297016143799,0.8771861791610718
13,0.1911245733499527,0.918515145778656,0.9751046299934387,0.8781784772872925,0.8819896578788757,0.1879819929599762,0.919867992401123,0.9786509275436401,0.9172325730323792,0.8398756384849548
14,0.20295877754688263,0.9104798436164856,0.9717679023742676,0.864440381526947,0.8728092312812805,0.2023005485534668,0.9095709323883057,0.976621150970459,0.9203027486801147,0.8033424019813538
15,0.19068048894405365,0.9176097512245178,0.9749406576156616,0.8791171908378601,0.8776497840881348,0.17120963335037231,0.9305610656738281,0.981205403804779,0.8764251470565796,0.926156222820282
16,0.16663670539855957,0.9307379126548767,0.9813581109046936,0.8944233059883118,0.9021866321563721,0.17034530639648438,0.929504930973053,0.9821856617927551,0.9296249747276306,0.8573649525642395
17,0.16154512763023376,0.9350385069847107,0.98238205909729,0.9024430513381958,0.9063595533370972,0.1698133945465088,0.9260725975036621,0.9829444289207458,0.9317889213562012,0.8441507816314697
18,0.16187670826911926,0.9343028664588928,0.9822192788124084,0.9033066034317017,0.9028542637825012,0.15564371645450592,0.9355775713920593,0.9837388396263123,0.9105947017669678,0.8985620141029358
19,0.16092325747013092,0.9356043338775635,0.9821887016296387,0.9031400680541992,0.9073610305786133,0.16113419830799103,0.9310891032218933,0.9828025102615356,0.9077534675598145,0.8872910737991333
20,0.1545609086751938,0.9353780150413513,0.9836416244506836,0.9012079834938049,0.9090301990509033,0.15557518601417542,0.935973584651947,0.9852204918861389,0.9371859431266785,0.8698017597198486
21,0.16347354650497437,0.931869626045227,0.981639564037323,0.8997828364372253,0.8991820812225342,0.160758376121521,0.934257447719574,0.9858279824256897,0.8606187105178833,0.9623008370399475
22,0.15719974040985107,0.9348121285438538,0.9829778075218201,0.9009113311767578,0.9075279831886292,0.14988942444324493,0.9349175095558167,0.9865095615386963,0.9377104640007019,0.8659152984619141
23,0.149102583527565,0.9384902715682983,0.984732985496521,0.9056916236877441,0.9137039184570312,0.1433950513601303,0.9416501522064209,0.9867314696311951,0.8927386403083801,0.941313624382019
24,0.14351610839366913,0.9424513578414917,0.9859330654144287,0.9147765040397644,0.9155399799346924,0.14095626771450043,0.9424422383308411,0.9870165586471558,0.9282565116882324,0.9001166224479675
25,0.14540515840053558,0.9400181174278259,0.9854917526245117,0.9113966226577759,0.9117009043693542,0.138213649392128,0.9411221146583557,0.986998438835144,0.9039118885993958,0.9249902963638306
26,0.13687589764595032,0.9455636143684387,0.9871611595153809,0.9184556603431702,0.9212151765823364,0.14560116827487946,0.937953770160675,0.9866347312927246,0.8825027346611023,0.9428682327270508
27,0.13475778698921204,0.9449977278709412,0.9875592589378357,0.9169297218322754,0.9212151765823364,0.13822674751281738,0.9428383111953735,0.9873726963996887,0.9105909466743469,0.9222697019577026
28,0.13060793280601501,0.9473177790641785,0.9883653521537781,0.9232184886932373,0.9212151765823364,0.1336425244808197,0.9446864724159241,0.9890148639678955,0.9443069100379944,0.8896229863166809
29,0.1380518078804016,0.9428474307060242,0.9869450330734253,0.916123628616333,0.9152061343193054,0.17496037483215332,0.9256765842437744,0.9877297878265381,0.8338870406150818,0.9755149483680725
30,0.136561319231987,0.9437528252601624,0.9871342182159424,0.9163472652435303,0.9178768396377563,0.1338420808315277,0.9433663487434387,0.9889475703239441,0.9433416128158569,0.8865137696266174
31,0.1258952021598816,0.9482231736183167,0.9891903400421143,0.9248409867286682,0.9222166538238525,0.13146516680717468,0.944950520992279,0.98946213722229,0.8922852873802185,0.9529731869697571
32,0.12464992702007294,0.9502037167549133,0.9893573522567749,0.927269697189331,0.9257219433784485,0.12443617731332779,0.9475907683372498,0.9901661276817322,0.8997061252593994,0.9518072009086609
33,0.12559057772159576,0.9494680762290955,0.9891495704650879,0.9245502948760986,0.9265565276145935,0.13855601847171783,0.9433663487434387,0.9885852932929993,0.8861671686172485,0.9560824036598206
34,0.12146209180355072,0.9503169059753418,0.9897370934486389,0.9280093908309937,0.9252211451530457,0.12127725034952164,0.9499669671058655,0.9902585744857788,0.9356632232666016,0.9156626462936401
35,0.12266914546489716,0.9517315626144409,0.9895392656326294,0.9275965094566345,0.9302286505699158,0.12748458981513977,0.9474587440490723,0.9895564913749695,0.9086809754371643,0.9397590160369873
36,0.12511330842971802,0.9479968547821045,0.9891818165779114,0.9222444295883179,0.9245535135269165,0.1455744355916977,0.9416501522064209,0.9890187978744507,0.9630595445632935,0.8612514734268188
37,0.1300506740808487,0.94624263048172,0.9881749153137207,0.9205740094184875,0.9208813309669495,0.12925511598587036,0.9487788677215576,0.9891425371170044,0.907497227191925,0.9455888271331787
38,0.11944852024316788,0.9503734707832336,0.9902877807617188,0.9258827567100525,0.9278918504714966,0.12941256165504456,0.9461386203765869,0.9906177520751953,0.9596602916717529,0.8783521056175232
39,0.12589117884635925,0.9481666088104248,0.9890682697296143,0.9244020581245422,0.9225504994392395,0.12073884159326553,0.9499669671058655,0.9911693930625916,0.951812207698822,0.8981733322143555
40,0.10904348641633987,0.9562584757804871,0.9918661117553711,0.9374580979347229,0.9332332015037537,0.11796756833791733,0.9531353116035461,0.9914512634277344,0.9116555452346802,0.9545277953147888
41,0.12173345685005188,0.9499773383140564,0.9898531436920166,0.9263650178909302,0.9260557293891907,0.11189427226781845,0.954587459564209,0.9918397665023804,0.9399921298027039,0.9253789186477661
42,0.1204063817858696,0.9503734707832336,0.9900871515274048,0.9285953640937805,0.9247204065322876,0.11212769150733948,0.954587459564209,0.9916509389877319,0.9417360424995422,0.9234356880187988
43,0.12883847951889038,0.9459596872329712,0.988571286201477,0.9177173376083374,0.9233850836753845,0.1673186719417572,0.9301649928092957,0.9851076602935791,0.9490333795547485,0.8394869565963745
44,0.13060609996318817,0.9456768035888672,0.9882763028144836,0.9200200438499451,0.9197129011154175,0.1174514889717102,0.9518151879310608,0.9906697869300842,0.9349882006645203,0.9222697019577026
45,0.11483223736286163,0.9530896544456482,0.9909987449645996,0.9308847784996033,0.9307294487953186,0.12920910120010376,0.9458745718002319,0.991930365562439,0.8820204734802246,0.9704625010490417
46,0.10561192035675049,0.9573902487754822,0.9923266172409058,0.9366455674171448,0.9377399682998657,0.11334046721458435,0.9540594220161438,0.9915776252746582,0.9444666504859924,0.9187718629837036
47,0.104144386947155,0.9576731324195862,0.9925628900527954,0.9391857981681824,0.9357369542121887,0.1079658642411232,0.956567645072937,0.9921042919158936,0.9308755993843079,0.9420909285545349
48,0.10329248011112213,0.9576165676116943,0.9927572011947632,0.9387345314025879,0.9360707998275757,0.10811420530080795,0.9549834728240967,0.9922391176223755,0.917977511882782,0.9525845050811768
49,0.11581634730100632,0.9521276354789734,0.9907342195510864,0.9309766888618469,0.9275580048561096,0.1389741450548172,0.9417821764945984,0.9914098381996155,0.9700176119804382,0.8550330400466919
50,0.1072646751999855,0.9554097056388855,0.9922019839286804,0.9348152875900269,0.9335669875144958,0.10995469987392426,0.9551154971122742,0.9918743371963501,0.9460647106170654,0.9203264713287354
51,0.10151198506355286,0.9593707323074341,0.9928915500640869,0.9422915577888489,0.9375730156898499,0.10533616691827774,0.9566996693611145,0.9923735857009888,0.9383053779602051,0.9339292645454407
52,0.10810752958059311,0.9561452865600586,0.9917271137237549,0.9372904300689697,0.9330662488937378,0.11201762408018112,0.954323410987854,0.992101788520813,0.9168850779533386,0.9518072009086609
53,0.10176529735326767,0.9589746594429016,0.9928225874900818,0.9404482841491699,0.9384075999259949,0.10599113255739212,0.956567645072937,0.9926670789718628,0.9262917637825012,0.947532057762146
54,0.0969642624258995,0.9619171619415283,0.9935255646705627,0.945095419883728,0.9424136281013489,0.12112568318843842,0.9499669671058655,0.9934865236282349,0.8862676024436951,0.9782355427742004
55,0.10415288060903549,0.9580127000808716,0.9924705624580383,0.9383664727210999,0.9377399682998657,0.14314515888690948,0.9419142007827759,0.9893121123313904,0.9606911540031433,0.8643606901168823
56,0.10033063590526581,0.9590878486633301,0.9929837584495544,0.9397329092025757,0.9395760297775269,0.11331747472286224,0.952343225479126,0.9921905398368835,0.9589211344718933,0.8981733322143555
57,0.09944204241037369,0.9599931836128235,0.9929273724555969,0.9410684704780579,0.9409113526344299,0.1007777601480484,0.9589439034461975,0.993317723274231,0.9524000287055969,0.9253789186477661
58,0.10007057338953018,0.9601629972457886,0.9928221702575684,0.9409508109092712,0.9415790438652039,0.09940016269683838,0.959075927734375,0.9934452176094055,0.9538708329200745,0.9242129921913147
59,0.1022753193974495,0.9578995108604431,0.9925591349601746,0.940554141998291,0.9349023699760437,0.11296309530735016,0.9536633491516113,0.9926767349243164,0.9090574383735657,0.9595802426338196
60,0.09217722713947296,0.9633318185806274,0.9940035343170166,0.9487653374671936,0.9427474737167358,0.09953244775533676,0.958547830581665,0.9936136603355408,0.9552599787712097,0.9211037755012512
61,0.09300516545772552,0.9623132348060608,0.9939242005348206,0.9435282349586487,0.945418119430542,0.10015533119440079,0.9581518173217773,0.9938555359840393,0.9559417963027954,0.9191604852676392
62,0.10489135980606079,0.9572770595550537,0.9922789931297302,0.9388200044631958,0.9349023699760437,0.09865409135818481,0.9593399167060852,0.9932553768157959,0.9467455744743347,0.9327633380889893
63,0.09518597275018692,0.9595404863357544,0.9936756491661072,0.9404006600379944,0.9402437210083008,0.0992586612701416,0.9599999785423279,0.9933123588562012,0.9464988112449646,0.9350951910018921
64,0.09156380593776703,0.9641806483268738,0.9941728115081787,0.9481431841850281,0.9460858106613159,0.09727288782596588,0.9614521265029907,0.9937605261802673,0.9604359865188599,0.9246016144752502
65,0.09485673904418945,0.9620303511619568,0.9937092065811157,0.9442217946052551,0.943748950958252,0.1104537844657898,0.9557755589485168,0.993805468082428,0.9721518754959106,0.8954527974128723
66,0.10918927937746048,0.9557492136955261,0.9917211532592773,0.9363377690315247,0.9328993558883667,0.1159423366189003,0.9511551260948181,0.9929025173187256,0.8957958817481995,0.96890789270401
67,0.09039236605167389,0.9632752537727356,0.9944282174110413,0.9472538232803345,0.94424968957901,0.10846737772226334,0.956831693649292,0.9933749437332153,0.9667497873306274,0.9040030837059021
68,0.0922214612364769,0.9629923105239868,0.994074285030365,0.9493180513381958,0.9410783052444458,0.08969586342573166,0.9644884467124939,0.994556188583374,0.9475524425506592,0.9479207396507263
